project,path,size_bytes,sha256,extension,category
web-main,projects/web-main/backend/services/object_storage_service.py,13829,c569eb613ca9a8ea0b589645fc5078c6a337dfe4130eb60357507e78eccc8f8f,.py,source
web-main,projects/web-main/backend/services/product_catalog.py,4852,00904437569a4765d84db8a9e0013b3f6d90c528d071ae314880500b6e448fb8,.py,source
web-main,projects/web-main/backend/services/quota_service.py,3266,fb5adfa9d36a73600e4b555c124ec406401e1c549e5e7aea5afbebe9b6542016,.py,source
web-main,projects/web-main/backend/services/readiness_service.py,3978,c5420658193f736a1aa845dc192b1a951750b7b0113efa8c8238e26cdd4ee141,.py,source
web-main,projects/web-main/backend/services/report_service.py,32514,f656caf178bc06657ceaa46fed872c26b0c22efa73a14bf1a9c4615d4904a351,.py,source
web-main,projects/web-main/backend/services/state_store.py,11022,ff839a34db7b1b61550808f6b033d0da519f7e042a7d0a5f824ef8e2175825fd,.py,source
web-main,projects/web-main/backend/services/storage_service.py,18593,262f11511dce5b7473dbd8e34161201f1775c3f461551b23a849feda345694d9,.py,source
web-main,projects/web-main/backend/services/task_service.py,40592,163c8d372d8d995ff64f96bf11d5dd948d7fd90a6a37af7025ca79fd1906acf2,.py,source
web-main,projects/web-main/backend/services/teaching_data_service.py,14038,61313d4e9f555c8849385ad4eac0bc365d24ff643469de3a2a055e6adfd7cc9d,.py,source
web-main,projects/web-main/backend/services/waveform_chunk_service.py,8346,772e67dc23edd57ca108e4e017c02c1c9f9f4c8d9fe2e70a043b9bac8963fa66,.py,source
web-main,projects/web-main/deploy/aliyun/DEPLOYMENT_CHECKLIST.md,12425,602453af386242546a35ff76abc44626905b97f96fb12615e08b0dea2d0ae85d,.md,documentation
web-main,projects/web-main/deploy/aliyun/QUICKSTART.md,5286,65a1c912d6ca7aee3e025869661df18be18915b1db3952f46a5828b2ecfc1549,.md,documentation
web-main,projects/web-main/deploy/aliyun/README_DEPLOYMENT.md,18532,9e7cbc2c8cf73b95105533d2bb507ac0309b89a6aa33fbc71058a1348fb15077,.md,documentation
web-main,projects/web-main/deploy/aliyun/SUMMARY.md,9916,bfc1268ddb97796762672b6ed32a677db1cb7fe59a076cd952f92e3750f9a4cc,.md,documentation
web-main,projects/web-main/deploy/aliyun/deploy.sh,6988,960e15088fdc5a9da678e0d42d3cc7d708fbe1f115a3a20545686e69211a668d,.sh,other
web-main,projects/web-main/deploy/aliyun/monitoring.yml,9048,689ed597eea0422b045bd0564bb64140aaa8045225a5d63ade32734f05d5ff40,.yml,configuration-or-contract
web-main,projects/web-main/deploy/aliyun/nginx.production.conf,6368,16c31991d4d0014c7c6fd013852f3b94ee5d6943251fccce95c48ba8ba903f34,.conf,other
web-main,projects/web-main/deploy/aliyun/nginx.single-origin.conf,2349,51977d701b768d48ea434a19b4b9637fa0ea80c3b0bfd8241cced3ad2daf8c78,.conf,other
web-main,projects/web-main/deploy/aliyun/production.env.template,5483,acfb245e9d3377e491e293ee40d6e6c244c72b6f8f56ab55a956ffb24700b32c,.template,other
web-main,projects/web-main/deploy/aliyun/qlanalyser-v01-staging.env.example,1441,2a19c8befac06254d7ab4a3c7112ed2582e0e04c87e81343570bf42d51ea484f,.example,other
web-main,projects/web-main/deploy/aliyun/rollback.sh,3724,af69d077a14cc39859609ac1ee99cccb63cfb8a3719aa1230862a1c8635e74d5,.sh,other
web-main,projects/web-main/docker-compose.prod.yml,4590,bec5e81661f30bce582c55fda17dbd9bc8ee84a3c9e8fb11d955e478f9541a88,.yml,configuration-or-contract
web-main,projects/web-main/docs/AI_CONVERSATION_SYNC.md,2531,37d5fa02919b8c91f24ecb5ae41f9020a760b1ec2e723e6d353002c8b1dd3496,.md,documentation
web-main,projects/web-main/docs/AI_HANDOFF_CURRENT.md,4370,f49d5f09c6f3a6884ef5e7bb0bfc5cf7f76847854dd7ddf64eb8c31c940cab3b,.md,documentation
web-main,projects/web-main/docs/ANALYSIS_MODULES_INVENTORY.md,9222,cd020aafd2fa99833971d31403b42b928391fcab94b1996d48d6cf960927e529,.md,documentation
web-main,projects/web-main/docs/DECISIONS.md,5998,5bbdc8d969429d312c9b7f2c0d7414768cd4dd46fa086f068f2fdf6f78630019,.md,documentation
web-main,projects/web-main/docs/FOUR_CONVERSATION_WORKFLOW.md,11483,3914eb894c558663b3ed84ad2e21afb60aaf2eaf8b8741c290dd96a5f46494d1,.md,documentation
web-main,projects/web-main/docs/PROJECT_HUB.md,13091,b6d9fc842aadeb45b5cdaeb9d1ab23725cd1087f741f3cfcfcd05a1155474bcb,.md,documentation
web-main,projects/web-main/docs/PROJECT_STATUS.md,100065,929fe8fb7e7ee2fb48626c6f2db12189e63e876568ba35b9944e973de3490015,.md,documentation
web-main,projects/web-main/docs/PROJECT_STATUS_CURRENT.md,7485,35930e112b24a353a029e943a11ae7f6c439b05a7277263b2ec7a8cf0d767fc9,.md,documentation
web-main,projects/web-main/docs/SECURITY_AUDIT_REPORT.md,5837,aa22f6ec75ed7a5ebae2ea3d576a06fcccaa9ce9b96ce3e888b6b9f9410894ea,.md,documentation
web-main,projects/web-main/docs/TASK_LOG.md,135538,ba986c6a5ecac0755615970a62421e8777fe5221e5fbc0564acb390dc4a48114,.md,documentation
web-main,projects/web-main/docs/TEAM_OPERATING_MODEL.md,8525,331c4b1b6d01c496b2c33c2469b2bc7dd191cd379f41cc2d686027cf4f5d2dd2,.md,documentation
web-main,projects/web-main/docs/TWO_WEEK_ALIYUN_V1_WAR_PLAN.md,9560,65297bab26e9782b8b297578d1d3fea4b4b1b0ba5f0793ff7cf36a9352357892,.md,documentation
web-main,projects/web-main/docs/architecture/README.md,638,730f3f77f65774049fe55999f02ce17d68d825cd274759c4dff4ffddf59771b7,.md,documentation
web-main,projects/web-main/docs/architecture/aliyun_v1_contract_freeze.md,7789,01cefe1b6acfe75f1333a3e3a056357f444891ffaefd2376afa98ce0aef7b853,.md,documentation
web-main,projects/web-main/docs/architecture/project_workbench_backend_detailed_design.md,7332,bf994cfbda85f6fae5286b7008fa817e072d5f54d2100c2a25bc325845d17181,.md,documentation
web-main,projects/web-main/docs/architecture/system_architecture.md,11068,735a281fb5c593242bab761853b99f74c633d7d1eb2856ef5fd135548b24e1b7,.md,documentation
web-main,projects/web-main/docs/architecture/v01_parallel_agent_execution_architecture.md,20060,179f61376eab6ac4166c0bfffd0bfb4d34cf2ecd69dbddebd5b40909c95a6c2a,.md,documentation
web-main,projects/web-main/docs/architecture/version_detailed_design.md,11842,adf80d5f4adaeb48402d0a08c655521d7f007fc1aee620bc227dd9c85f3a7b5e,.md,documentation
web-main,projects/web-main/docs/compliance/cro_traceability_contract.md,5344,a989392f16b6b094c7af8eb9b1e4df2a38700cee4becc9e206f0ceb44e4415cf,.md,documentation
web-main,projects/web-main/docs/eeg_v01_product_principles.md,7541,b08566d1c126bf0f2e8f9df982db9708b2e2951d639adcd3fb0c705e442100b9,.md,documentation
web-main,projects/web-main/docs/legacy_static_mvp.md,260,ccebe6efcb7fde16ffec2cc6733c6e370cbd48b39a9b11d81f3948d306cbf86a,.md,documentation
web-main,projects/web-main/docs/modules/README.md,1350,fd822e9eb45d677413aa40492d6be261285aceff9794be31b3d067e845a5bde8,.md,documentation
web-main,projects/web-main/docs/modules/analysis_method_inheritance_guide.md,4892,35573d7dbf046c6bf37c16f90ed87cd773aa26ba3834a54ebee8b0cc41d5ac87,.md,documentation
web-main,projects/web-main/docs/modules/analysis_module_contract.md,7124,0af0fd40e2c5badf29b6e9e50f2c3725149666d04aca326e42d0e1593afce7b6,.md,documentation
web-main,projects/web-main/docs/modules/analysis_modules_design_matrix.md,10864,615de8bf6f33f45cf2a9c92152cda143a00b1abd28310809393bb5a322b3ac80,.md,documentation
web-main,projects/web-main/docs/modules/beginner_friendly_analysis_function_blueprint.md,6242,6768d0737e1311deab3af2322357241a1444f6c6a45b8eaf52da4ef4d50704af,.md,documentation
web-main,projects/web-main/docs/modules/beginner_learning_analysis_design.md,7704,104fff48509456a670773bb16540195990b731d6f233fb605130d6202e081d76,.md,documentation
web-main,projects/web-main/docs/modules/eeg_method_portfolio_matrix.md,4495,8360c9a69fcdb2830f3bfa39ad56ed81ce4908a0db728d36cbda55d351ed54f5,.md,documentation
